BATHRM,HF_BATHRM,AC,BEDRM,STORIES,PRICE,CNDTN,LANDAREA,FULLADDRESS,ASSESSMENT_NBHD,WARD,QUADRANT
3,1,Y,3,2,40537,Very Good,822,216 CHANNING STREET NE,Brookland,Ward 5,NE
1,0,N,3,2,515000,Average,1620,5030 NORTH CAPITOL STREET NW,Petworth,Ward 4,NW
3,0,Y,4,2,650000,Good,1735,110 LONGFELLOW STREET NW,Chillum,Ward 4,NW
1,0,N,3,2,480000,Good,1936,136 LONGFELLOW STREET NW,Chillum,Ward 4,NW
1,0,N,2,2,250000,Fair,1520,2817 5TH STREET NE,Brookland,Ward 5,NE
1,0,Y,3,2,450000,Average,1764,114 TODD PLACE NE,Eckington,Ward 5,NE
3,1,Y,3,2,857000,Good,1984,109 RHODE ISLAND AVENUE NE,Eckington,Ward 5,NE
1,0,Y,3,2,528610,Average,1367,157 RHODE ISLAND AVENUE NE,Eckington,Ward 5,NE
4,1,Y,3,2,929000,Very Good,1693,161 RHODE ISLAND AVENUE NE,Eckington,Ward 5,NE
3,1,Y,3,2,716500,Good,2147,619 GIRARD STREET NE,Brookland,Ward 5,NE
1,0,N,3,2,711000,Average,1500,154 R STREET NE,Eckington,Ward 5,NE
3,0,N,4,2,860000,Average,1620,1700 1ST STREET NE,Eckington,Ward 5,NE
1,0,N,4,2,368000,Average,986,205 CROMWELL TERRACE NE,Brookland,Ward 5,NE
1,1,N,3,2,550000,Average,1530,2811 NORTH CAPITOL STREET NE,Brookland,Ward 5,NE
3,1,Y,4,2,765000,Very Good,986,232 CROMWELL TERRACE NE,Brookland,Ward 5,NE
3,1,Y,4,2,685000,Good,6256,1 MISSOURI AVENUE NW,Chillum,Ward 4,NW
1,0,N,2,1,435000,Average,5463,5430 NORTH CAPITOL STREET NW,Chillum,Ward 4,NW
3,1,Y,4,2,930000,Very Good,3634,96 PEABODY STREET NE,Takoma Park,Ward 4,NE
3,1,Y,3,2,780000,Very Good,1424,2105 2ND STREET NE,Eckington,Ward 5,NE
2,0,Y,3,2,630000,Good,1167,1733 NORTH CAPITOL STREET NE,Eckington,Ward 5,NE
2,1,Y,3,2,865000,Good,2000,123 RHODE ISLAND AVENUE NE,Eckington,Ward 5,NE
1,1,N,3,2,450000,Average,2147,639 GIRARD STREET NE,Brookland,Ward 5,NE
1,2,N,3,2,532500,Average,2755,618 FRANKLIN STREET NE,Brookland,Ward 5,NE
3,1,Y,4,2,749900,Very Good,990,176 U STREET NE,Eckington,Ward 5,NE
1,0,N,3,2,399000,Average,1344,2318 2ND STREET NE,Brookland,Ward 5,NE
3,1,Y,3,2,735000,Very Good,1344,2308 2ND STREET NE,Brookland,Ward 5,NE
1,1,N,3,2,249646,Average,1427,2414 2ND STREET NE,Brookland,Ward 5,NE
2,0,Y,3,2,750000,Very Good,2037,644 FRANKLIN STREET NE,Brookland,Ward 5,NE
1,1,Y,3,2,710000,Average,1358,53 T STREET NE,Eckington,Ward 5,NE
2,1,Y,3,2,670000,Very Good,822,221 DOUGLAS STREET NE,Brookland,Ward 5,NE
1,1,N,3,2,411553,Average,2288,5407 CHILLUM PLACE NE,Riggs Park,Ward 5,NE
1,1,Y,3,2,389000,Average,2316,619 KENNEDY STREET NE,Riggs Park,Ward 5,NE
3,1,Y,3,2,569900,Good,2568,759 NICHOLSON STREET NE,Riggs Park,Ward 4,NE
3,0,Y,3,2,550000,Very Good,2139,316 NICHOLSON STREET NE,Riggs Park,Ward 4,NE
1,2,Y,3,2,500000,Good,2910,5336 CHILLUM PLACE NE,Riggs Park,Ward 5,NE
3,1,Y,5,2,780000,Good,6250,18 MADISON STREET NE,Chillum,Ward 4,NE
1,0,N,3,2,590000,Average,1500,2024 4TH STREET NE,Eckington,Ward 5,NE
1,0,N,3,2,550000,Average,2321,2016 4TH STREET NE,Eckington,Ward 5,NE
